Dates,Infected,Hospitalized,Recovered,Deaths
1/23/20,0.0,0.0,0.0,0.0
1/24/20,0.0,0.0,0.0,0.0
1/25/20,0.0,0.0,0.0,0.0
1/26/20,0.0,0.0,0.0,0.0
1/27/20,0.0,0.0,0.0,0.0
1/28/20,0.0,0.0,0.0,0.0
1/29/20,0.0,0.0,0.0,0.0
1/30/20,0.0,0.0,0.0,0.0
1/31/20,1.0,0.0,0.0,0.0
2/1/20,1.0,0.0,0.0,0.0
2/2/20,1.0,0.0,0.0,0.0
2/3/20,2.0,0.0,0.0,0.0
2/4/20,2.0,0.0,0.0,0.0
2/5/20,2.0,0.0,0.0,0.0
2/6/20,2.0,0.0,0.0,0.0
2/7/20,2.0,0.0,0.0,0.0
2/8/20,2.0,0.0,0.0,0.0
2/9/20,2.0,0.0,0.0,0.0
2/10/20,2.0,0.0,0.0,0.0
2/11/20,2.0,0.0,0.0,0.0
2/12/20,2.0,0.0,0.0,0.0
2/13/20,2.0,0.0,0.0,0.0
2/14/20,2.0,0.0,0.0,0.0
2/15/20,2.0,0.0,0.0,0.0
2/16/20,2.0,0.0,0.0,0.0
2/17/20,2.0,0.0,0.0,0.0
2/18/20,2.0,0.0,0.0,0.0
2/19/20,2.0,0.0,0.0,0.0
2/20/20,2.0,0.0,0.0,0.0
2/21/20,2.0,0.0,0.0,0.0
2/22/20,2.0,0.0,0.0,0.0
2/23/20,2.0,0.0,0.0,0.0
2/24/20,2.0,0.0,0.0,0.0
2/25/20,2.0,0.0,0.0,0.0
2/26/20,2.0,0.0,0.0,0.0
2/27/20,2.0,0.0,0.0,0.0
2/28/20,2.0,0.0,0.0,0.0
2/29/20,3.0,0.0,0.0,0.0
3/1/20,3.0,0.0,0.0,0.0
3/2/20,9.0,0.0,0.0,0.0
3/3/20,11.0,0.0,0.0,0.0
3/4/20,11.0,0.0,0.0,0.0
3/5/20,20.0,0.0,0.0,0.0
3/6/20,20.0,0.0,0.0,0.0
3/7/20,32.0,0.0,0.0,0.0
3/8/20,38.0,0.0,0.0,0.0
3/9/20,38.0,0.0,0.0,0.0
3/10/20,43.0,0.0,0.0,1.0
3/11/20,48.0,0.0,0.0,1.0
3/12/20,52.0,0.0,0.0,1.0
3/13/20,79.0,0.0,0.0,1.0
3/14/20,95.0,0.0,0.0,1.0
3/15/20,91.0,0.0,0.0,2.0
3/16/20,138.0,0.0,0.0,2.0
3/17/20,155.0,0.0,0.0,4.0
3/18/20,175.0,0.0,0.0,6.0
3/19/20,189.0,0.0,0.0,6.0
3/20/20,196.0,0.0,0.0,8.0
3/21/20,263.0,0.0,0.0,8.0
3/22/20,263.0,0.0,0.0,8.0
3/23/20,302.0,0.0,0.0,10.0
3/24/20,375.0,0.0,0.0,16.0
