Dates,Infected,Deaths,Recovered
2/1/2020,1.0,0.0,0
2/2/2020,1.0,0.0,0
2/3/2020,1.0,0.0,0
2/4/2020,1.0,0.0,0
2/5/2020,1.0,0.0,0
2/6/2020,1.0,0.0,0
2/7/2020,1.0,0.0,0
2/8/2020,1.0,0.0,0
2/9/2020,1.0,0.0,0
2/10/2020,1.0,0.0,0
2/11/2020,1.0,0.0,0
2/12/2020,1.0,0.0,0
2/13/2020,1.0,0.0,0
2/14/2020,1.0,0.0,0
2/15/2020,1.0,0.0,0
2/16/2020,1.0,0.0,0
2/17/2020,1.0,0.0,0
2/18/2020,1.0,0.0,0
2/19/2020,1.0,0.0,0
2/20/2020,1.0,0.0,0
2/21/2020,1.0,0.0,0
2/22/2020,1.0,0.0,0
2/23/2020,1.0,0.0,0
2/24/2020,1.0,0.0,0
2/25/2020,1.0,0.0,0
2/26/2020,1.0,0.0,0
2/27/2020,1.0,0.0,0
2/28/2020,1.0,0.0,0
2/29/2020,1.0,0.0,0
3/1/2020,1.0,0.0,0
3/2/2020,1.0,0.0,0
3/3/2020,2.0,0.0,0
3/4/2020,2.0,0.0,0
3/5/2020,2.0,0.0,0
3/6/2020,7.0,0.0,0
3/7/2020,9.0,0.0,0
3/8/2020,28.0,0.0,0
3/9/2020,28.0,0.0,0
3/10/2020,91.0,0.0,0
3/11/2020,95.0,0.0,0
3/12/2020,108.0,0.0,0
3/13/2020,109.0,0.0,0
3/14/2020,109.0,0.0,0
3/15/2020,164.0,0.0,0
3/16/2020,197.0,0.0,0
3/17/2020,218.0,0.0,0
3/18/2020,256.0,2.0,0
3/19/2020,328.0,3.0,0
3/20/2020,413.0,5.0,0
3/21/2020,525.0,7.0,0
3/22/2020,646.0,11.0,0
3/23/2020,777.0,17.0,0
3/24/2020,1159.0,26.0,0
3/25/2020,1838.0,33.0,0
3/26/2020,2417.0,43.0,0
3/27/2020,3240.0,58.0,0
3/28/2020,4257.0,73.0,0
3/29/2020,4955.0,99.0,0
3/30/2020,5752.0,127.0,0
3/31/2020,6620.0,155.0,0
4/1/2020,7738.0,191.0,0
4/2/2020,8966.0,234.0,0
4/3/2020,10402.0,273.0,0
4/4/2020,11736.0,312.0,0
4/5/2020,12500.0,380.0,0
4/6/2020,13837.0,460.0,0
4/7/2020,15202.0,531.0,0
4/8/2020,16567.0,634.0,0
4/9/2020,18941.0,749.0,0
4/10/2020,20845.0,858.0,0
4/11/2020,23918.0,982.0,0
4/12/2020,25475.0,1101.0,0
4/13/2020,26867.0,1271.0,0
4/14/2020,28163.0,1402.0,0
4/15/2020,29918.0,1586.0,0
4/16/2020,32181.0,1763.0,0
4/17/2020,34402.0,1938.0,0
4/18/2020,36372.0,2114.0,0
4/19/2020,38077.0,2297.0,0
4/20/2020,39643.0,2480.0,0
4/21/2020,41199.0,2642.0,0
4/22/2020,42944.0,2796.0,0
4/23/2020,46023.0,2991.0,0
4/24/2020,50969.0,3194.0,0
4/25/2020,53348.0,3347.0,0
4/26/2020,54938.0,3502.0,0
4/27/2020,56462.0,3664.0,0
4/28/2020,58302.0,3810.0,0
4/29/2020,60265.0,3980.0,0
4/30/2020,62205.0,4125.0,0
5/1/2020,64311.0,4304.0,0
5/2/2020,66263.0,4451.0,0
5/3/2020,68087.0,4591.0,0
5/4/2020,69087.0,4729.0,0
5/5/2020,70271.0,4871.0,0
5/6/2020,72025.0,5015.0,0
5/7/2020,73721.0,5147.0,0
5/8/2020,75333.0,5263.0,0
5/9/2020,76743.0,5377.0,0
5/10/2020,77793.0,5504.0,0
5/11/2020,78462.0,5634.0,0
5/12/2020,79332.0,5750.0,0
5/13/2020,80497.0,5866.0,0
5/14/2020,82182.0,5970.0,0
5/15/2020,83421.0,6093.0,0
5/16/2020,84933.0,6185.0,0
5/17/2020,86010.0,6268.0,0
5/18/2020,87052.0,6365.0,0
5/19/2020,87925.0,6440.0,0
5/20/2020,88970.0,6524.0,0
5/21/2020,90084.0,6594.0,0
5/22/2020,90899.0,6678.0,0
5/23/2020,91662.0,6750.0,0
5/24/2020,92675.0,6812.0,0
5/25/2020,93271.0,6879.0,0
5/26/2020,93693.0,6952.0,0
5/27/2020,94220.0,7016.0,0
5/28/2020,94895.0,7068.0,0
5/29/2020,95512.0,7127.0,0
5/30/2020,96301.0,7184.0,0
5/31/2020,96965.0,7239.0,0
6/1/2020,97291.0,7273.0,0
6/2/2020,97539.0,7325.0,0
6/3/2020,97964.0,7366.0,0
6/4/2020,98376.0,7410.0,0
6/5/2020,98796.0,7436.0,0
6/6/2020,99301.0,7480.0,0
6/7/2020,99562.0,7519.0,0
6/8/2020,99755.0,7557.0,0
6/9/2020,99955.0,7590.0,0
6/10/2020,100158.0,7625.0,0
6/11/2020,100504.0,7658.0,0
6/12/2020,100811.0,7697.0,0
6/13/2020,101070.0,7724.0,0
6/14/2020,101276.0,7755.0,0
6/15/2020,101334.0,7791.0,0
6/16/2020,101474.0,7807.0,0
6/17/2020,101654.0,7836.0,0
6/18/2020,101853.0,7859.0,0
6/19/2020,102005.0,7892.0,0
6/20/2020,102228.0,7908.0,0
6/21/2020,102333.0,7939.0,0
6/22/2020,102469.0,7960.0,0
6/23/2020,102651.0,7989.0,0
6/24/2020,102762.0,8014.0,0
6/25/2020,102922.0,8032.0,0
6/26/2020,103071.0,8053.0,0
6/27/2020,103376.0,8075.0,0
6/28/2020,103539.0,8095.0,0
6/29/2020,103628.0,8111.0,0
6/30/2020,103701.0,8126.0,0
7/1/2020,103858.0,8149.0,0
7/2/2020,104016.0,8169.0,0
7/3/2020,104228.0,8186.0,0
7/4/2020,104391.0,8206.0,0
7/5/2020,104502.0,8224.0,0
7/6/2020,104659.0,8248.0,0
7/7/2020,104799.0,8268.0,0
7/8/2020,104961.0,8296.0,0
7/9/2020,105138.0,8313.0,0
7/10/2020,105290.0,8323.0,0
7/11/2020,105457.0,8334.0,0
7/12/2020,105629.0,8350.0,0
7/13/2020,105783.0,8367.0,0
7/14/2020,105986.0,8385.0,0
7/15/2020,106128.0,8397.0,0
7/16/2020,106271.0,8408.0,0
7/17/2020,106487.0,8424.0,0
7/18/2020,106664.0,8437.0,0
7/19/2020,106882.0,8451.0,0
7/20/2020,107056.0,8460.0,0
7/21/2020,107221.0,8477.0,0
7/22/2020,107413.0,8492.0,0
7/23/2020,107683.0,8506.0,0
7/24/2020,107897.0,8529.0,0
7/25/2020,108107.0,8543.0,0
7/26/2020,108380.0,8557.0,0
7/27/2020,108562.0,8574.0,0
7/28/2020,108740.0,8587.0,0
7/29/2020,109096.0,8601.0,0
7/30/2020,109400.0,8611.0,0
7/31/2020,109787.0,8626.0,0
8/1/2020,110077.0,8645.0,0
8/2/2020,110430.0,8655.0,0
8/3/2020,110595.0,8663.0,0
8/4/2020,111033.0,8677.0,0
8/5/2020,111371.0,8691.0,0
8/6/2020,111533.0,8706.0,0
8/7/2020,111853.0,8721.0,0
8/8/2020,112173.0,8734.0,0
8/9/2020,112459.0,8743.0,0
8/10/2020,112673.0,8757.0,0
8/11/2020,112969.0,8771.0,0
8/12/2020,113198.0,8791.0,0
8/13/2020,113517.0,8803.0,0
8/14/2020,113729.0,8817.0,0
8/15/2020,114095.0,8830.0,0
8/16/2020,114398.0,8843.0,0
8/17/2020,114611.0,8858.0,0
8/18/2020,114786.0,8870.0,0
8/19/2020,115048.0,8886.0,0
8/20/2020,115310.0,8902.0,0
8/21/2020,115741.0,8918.0,0
8/22/2020,115850.0,8934.0,0
8/23/2020,115850.0,8949.0,0
8/24/2020,116421.0,8966.0,0
8/25/2020,116770.0,8983.0,0
8/26/2020,117085.0,8997.0,0
8/27/2020,117450.0,9008.0,0
8/28/2020,117888.0,9023.0,0
8/29/2020,118309.0,9040.0,0
8/30/2020,118483.0,9056.0,0
8/31/2020,118784.0,9068.0,0
9/1/2020,119138.0,9084.0,0
9/2/2020,121131.0,9101.0,0
9/3/2020,121546.0,9112.0,0
9/4/2020,121758.0,9122.0,0
9/5/2020,122196.0,9134.0,0
9/6/2020,122562.0,9142.0,0
9/7/2020,122791.0,9151.0,0
9/8/2020,122962.0,9165.0,0
9/9/2020,123143.0,9177.0,0
9/10/2020,123546.0,9198.0,0
9/11/2020,123986.0,9210.0,0
9/12/2020,124540.0,9218.0,0
9/13/2020,124826.0,9229.0,0
9/14/2020,125080.0,9246.0,0
9/15/2020,125393.0,9260.0,0
9/16/2020,125699.0,9281.0,0
9/17/2020,126128.0,9295.0,0
9/18/2020,126582.0,9307.0,0
9/19/2020,127181.0,9320.0,0
9/20/2020,127540.0,9335.0,0
9/21/2020,127796.0,9352.0,0
9/22/2020,127969.0,9357.0,0
9/23/2020,128512.0,9370.0,0
9/24/2020,128993.0,9383.0,0
9/25/2020,129481.0,9400.0,0
9/26/2020,130050.0,9421.0,0
9/27/2020,130642.0,9435.0,0
9/28/2020,131072.0,9455.0,0
9/29/2020,131584.0,9469.0,0
9/30/2020,132116.0,9486.0,0
10/1/2020,132870.0,9500.0,0
10/2/2020,133631.0,9515.0,0
10/3/2020,134303.0,9528.0,0
10/4/2020,134947.0,9543.0,0
10/5/2020,135462.0,9553.0,0
10/6/2020,135957.0,9559.0,0
10/7/2020,136492.0,9575.0,0
10/8/2020,136936.0,9589.0,0
10/9/2020,137701.0,9604.0,0
10/10/2020,138340.0,9621.0,0
10/11/2020,138903.0,9640.0,0
10/12/2020,139663.0,9666.0,0
10/13/2020,140412.0,9681.0,0
10/14/2020,140992.0,9705.0,0
10/15/2020,141579.0,9722.0,0
10/16/2020,142346.0,9741.0,0
10/17/2020,142930.0,9761.0,0
10/18/2020,143660.0,9767.0,0
10/19/2020,144488.0,9789.0,0
10/20/2020,145464.0,9812.0,0
10/21/2020,146166.0,9830.0,0
10/22/2020,147215.0,9846.0,0
10/23/2020,148285.0,9868.0,0
10/24/2020,149488.0,9893.0,0
10/25/2020,150565.0,9910.0,0
10/26/2020,151777.0,9936.0,0
10/27/2020,153037.0,9957.0,0
10/28/2020,154218.0,9977.0,0
10/29/2020,155564.0,9996.0,0
10/30/2020,157146.0,10016.0,0
10/31/2020,158576.0,10028.0,0
11/1/2020,159707.0,10048.0,0
11/2/2020,160549.0,10072.0,0
11/3/2020,161585.0,10088.0,0
11/4/2020,163299.0,10117.0,0
11/5/2020,165161.0,10141.0,0
11/6/2020,167274.0,10154.0,0
11/7/2020,169576.0,10181.0,0
11/8/2020,171399.0,10201.0,0
11/9/2020,172727.0,10225.0,0
11/10/2020,174881.0,10250.0,0
11/11/2020,177541.0,10282.0,0
11/12/2020,180189.0,10306.0,0
11/13/2020,183095.0,10328.0,0
11/14/2020,186142.0,10355.0,0
11/15/2020,188275.0,10387.0,0
11/16/2020,190439.0,10417.0,0
11/17/2020,192964.0,10441.0,0
11/18/2020,195868.0,10467.0,0
11/19/2020,198550.0,10486.0,0
11/20/2020,200949.0,10517.0,0
11/21/2020,204155.0,10545.0,0
11/22/2020,206850.0,10576.0,0
11/23/2020,208623.0,10612.0,0
11/24/2020,211199.0,10640.0,0
11/25/2020,214594.0,10670.0,0
11/26/2020,214594.0,10695.0,0
11/27/2020,219252.0,10735.0,0
11/28/2020,222469.0,10777.0,0
11/29/2020,224964.0,10805.0,0
11/30/2020,226132.0,10848.0,0
12/1/2020,229205.0,10894.0,0
12/2/2020,234232.0,10928.0,0
12/3/2020,240907.0,10976.0,0
12/4/2020,246398.0,11028.0,0
12/5/2020,252017.0,11074.0,0
12/6/2020,256844.0,11123.0,0
12/7/2020,259325.0,11186.0,0
12/8/2020,263447.0,11228.0,0
12/9/2020,269412.0,11281.0,0
12/10/2020,274781.0,11337.0,0
12/11/2020,280436.0,11386.0,0
12/12/2020,285725.0,11435.0,0
12/13/2020,290578.0,11489.0,0
12/14/2020,294231.0,11542.0,0
12/15/2020,298160.0,11587.0,0
12/16/2020,304112.0,11637.0,0
12/17/2020,309247.0,11693.0,0
12/18/2020,314926.0,11750.0,0
12/19/2020,319270.0,11810.0,0
12/20/2020,323531.0,11869.0,0
12/21/2020,327374.0,11921.0,0
12/22/2020,331174.0,11994.0,0
12/23/2020,335988.0,12044.0,0
12/24/2020,341925.0,12125.0,0
12/25/2020,341925.0,12192.0,0
12/26/2020,349602.0,12254.0,0
12/27/2020,352736.0,12317.0,0
12/28/2020,356934.0,12393.0,0
12/29/2020,361079.0,12473.0,0
12/30/2020,367918.0,12529.0,0
12/31/2020,375178.0,12613.0,0
1/1/2021,375178.0,12677.0,0
1/2/2021,384181.0,12758.0,0
1/3/2021,387662.0,12821.0,0
1/4/2021,392568.0,12886.0,0
1/5/2021,397202.0,12957.0,0
1/6/2021,404053.0,13042.0,0
1/7/2021,411601.0,13115.0,0
1/8/2021,419721.0,13183.0,0
1/9/2021,427135.0,13259.0,0
1/10/2021,432791.0,13345.0,0
1/11/2021,437042.0,13405.0,0
1/12/2021,442529.0,13474.0,0
1/13/2021,448447.0,13554.0,0
1/14/2021,454402.0,13624.0,0
1/15/2021,459927.0,13691.0,0
1/16/2021,465726.0,13756.0,0
1/17/2021,470140.0,13822.0,0
1/18/2021,473441.0,13891.0,0
1/19/2021,476526.0,13956.0,0
1/20/2021,481040.0,14032.0,0
1/21/2021,486180.0,14103.0,0
1/22/2021,491452.0,14188.0,0
1/23/2021,496093.0,14258.0,0
1/24/2021,500037.0,14318.0,0
1/25/2021,503688.0,14383.0,0
1/26/2021,506183.0,14476.0,0
1/27/2021,509503.0,14562.0,0
1/28/2021,514134.0,14645.0,0
1/29/2021,517252.0,14709.0,0
1/30/2021,521360.0,14768.0,0
1/31/2021,524025.0,14832.0,0
2/1/2021,526423.0,14900.0,0
2/2/2021,528662.0,14955.0,0
2/3/2021,531117.0,15014.0,0
2/4/2021,533921.0,15078.0,0
2/5/2021,537208.0,15149.0,0
2/6/2021,540827.0,15197.0,0
2/7/2021,543934.0,15240.0,0
2/8/2021,545303.0,15283.0,0
2/9/2021,546896.0,15329.0,0
2/10/2021,548946.0,15397.0,0
2/11/2021,551396.0,15451.0,0
2/12/2021,553812.0,15506.0,0
2/13/2021,555895.0,15542.0,0
2/14/2021,557777.0,15611.0,0
2/15/2021,559350.0,15654.0,0
2/16/2021,560576.0,15711.0,0
2/17/2021,561936.0,15746.0,0
2/18/2021,563976.0,15788.0,0
2/19/2021,565794.0,15838.0,0
2/20/2021,567764.0,15874.0,0
2/21/2021,569284.0,15916.0,0
2/22/2021,570546.0,15956.0,0
2/23/2021,571783.0,15995.0,0
2/24/2021,573885.0,16039.0,0
2/25/2021,575993.0,16087.0,0
2/26/2021,577980.0,16129.0,0
