Dates,Infected,Deaths,Recovered
2/1/2020,0.0,0.0,0
2/2/2020,0.0,0.0,0
2/3/2020,0.0,0.0,0
2/4/2020,0.0,0.0,0
2/5/2020,0.0,0.0,0
2/6/2020,0.0,0.0,0
2/7/2020,0.0,0.0,0
2/8/2020,0.0,0.0,0
2/9/2020,0.0,0.0,0
2/10/2020,0.0,0.0,0
2/11/2020,0.0,0.0,0
2/12/2020,0.0,0.0,0
2/13/2020,0.0,0.0,0
2/14/2020,0.0,0.0,0
2/15/2020,0.0,0.0,0
2/16/2020,0.0,0.0,0
2/17/2020,0.0,0.0,0
2/18/2020,0.0,0.0,0
2/19/2020,0.0,0.0,0
2/20/2020,0.0,0.0,0
2/21/2020,0.0,0.0,0
2/22/2020,0.0,0.0,0
2/23/2020,0.0,0.0,0
2/24/2020,0.0,0.0,0
2/25/2020,0.0,0.0,0
2/26/2020,0.0,0.0,0
2/27/2020,0.0,0.0,0
2/28/2020,0.0,0.0,0
2/29/2020,0.0,0.0,0
3/1/2020,0.0,0.0,0
3/2/2020,0.0,0.0,0
3/3/2020,0.0,0.0,0
3/4/2020,0.0,0.0,0
3/5/2020,0.0,0.0,0
3/6/2020,1.0,0.0,0
3/7/2020,1.0,0.0,0
3/8/2020,2.0,0.0,0
3/9/2020,2.0,0.0,0
3/10/2020,4.0,0.0,0
3/11/2020,5.0,0.0,0
3/12/2020,10.0,0.0,0
3/13/2020,14.0,0.0,0
3/14/2020,14.0,0.0,0
3/15/2020,54.0,0.0,0
3/16/2020,60.0,0.0,0
3/17/2020,77.0,0.0,0
3/18/2020,89.0,0.0,0
3/19/2020,115.0,0.0,0
3/20/2020,115.0,0.0,0
3/21/2020,137.0,1.0,0
3/22/2020,236.0,1.0,0
3/23/2020,262.0,1.0,0
3/24/2020,287.0,1.0,0
3/25/2020,346.0,2.0,0
3/26/2020,399.0,4.0,0
3/27/2020,399.0,4.0,0
3/28/2020,441.0,5.0,0
3/29/2020,576.0,10.0,0
3/30/2020,576.0,10.0,0
3/31/2020,689.0,17.0,0
4/1/2020,742.0,18.0,0
4/2/2020,789.0,22.0,0
4/3/2020,789.0,22.0,0
4/4/2020,865.0,24.0,0
4/5/2020,986.0,29.0,0
4/6/2020,1069.0,34.0,0
4/7/2020,1154.0,39.0,0
4/8/2020,1242.0,50.0,0
4/9/2020,1336.0,57.0,0
4/10/2020,1336.0,57.0,0
4/11/2020,1514.0,67.0,0
4/12/2020,1621.0,70.0,0
4/13/2020,1695.0,79.0,0
4/14/2020,1809.0,87.0,0
4/15/2020,1862.0,90.0,0
4/16/2020,2013.0,101.0,0
4/17/2020,2174.0,115.0,0
4/18/2020,2213.0,121.0,0
4/19/2020,2470.0,143.0,0
4/20/2020,2567.0,160.0,0
4/21/2020,2721.0,179.0,0
4/22/2020,2721.0,179.0,0
4/23/2020,3185.0,221.0,0
4/24/2020,3185.0,221.0,0
4/25/2020,3446.0,244.0,0
4/26/2020,3602.0,272.0,0
4/27/2020,4181.0,301.0,0
4/28/2020,4645.0,319.0,0
4/29/2020,5136.0,343.0,0
4/30/2020,5136.0,343.0,0
5/1/2020,5730.0,371.0,0
5/2/2020,6228.0,395.0,0
5/3/2020,7238.0,428.0,0
5/4/2020,7234.0,428.0,0
5/5/2020,7851.0,455.0,0
5/6/2020,8579.0,485.0,0
5/7/2020,10088.0,534.0,0
5/8/2020,10088.0,534.0,0
5/9/2020,11271.0,578.0,0
5/10/2020,11271.0,578.0,0
5/11/2020,11799.0,591.0,0
5/12/2020,12917.0,646.0,0
5/13/2020,12917.0,638.0,0
5/14/2020,14240.0,691.0,0
5/15/2020,14240.0,692.0,0
5/16/2020,15668.0,730.0,0
5/17/2020,16372.0,739.0,0
5/18/2020,17029.0,757.0,0
5/19/2020,17670.0,786.0,0
5/20/2020,17670.0,786.0,0
5/21/2020,19005.0,851.0,0
5/22/2020,19845.0,861.0,0
5/23/2020,19845.0,861.0,0
5/24/2020,20573.0,878.0,0
5/25/2020,21960.0,908.0,0
5/26/2020,22464.0,908.0,0
5/27/2020,22464.0,942.0,0
5/28/2020,23531.0,1006.0,0
5/29/2020,23531.0,1006.0,0
5/30/2020,24850.0,1050.0,0
5/31/2020,25208.0,1060.0,0
6/1/2020,25208.0,1060.0,0
6/2/2020,25508.0,1082.0,0
6/3/2020,25870.0,1097.0,0
6/4/2020,26273.0,1126.0,0
6/5/2020,27501.0,1181.0,0
6/6/2020,27886.0,1197.0,0
6/7/2020,28224.0,1208.0,0
6/8/2020,28523.0,1228.0,0
6/9/2020,28869.0,1267.0,0
6/10/2020,29316.0,1280.0,0
6/11/2020,29316.0,1280.0,0
6/12/2020,29795.0,1305.0,0
6/13/2020,30172.0,1314.0,0
6/14/2020,30693.0,1335.0,0
6/15/2020,30882.0,1344.0,0
6/16/2020,31296.0,1357.0,0
6/17/2020,31296.0,1357.0,0
6/18/2020,31675.0,1376.0,0
6/19/2020,32467.0,1406.0,0
6/20/2020,32920.0,1412.0,0
6/21/2020,33227.0,1416.0,0
6/22/2020,33469.0,1425.0,0
6/23/2020,33763.0,1432.0,0
6/24/2020,33763.0,1432.0,0
6/25/2020,34616.0,1446.0,0
6/26/2020,34616.0,1446.0,0
6/27/2020,35549.0,1460.0,0
6/28/2020,35546.0,1470.0,0
6/29/2020,35861.0,1470.0,0
6/30/2020,36716.0,1482.0,0
7/1/2020,37210.0,1495.0,0
7/2/2020,37624.0,1503.0,0
7/3/2020,37624.0,1503.0,0
7/4/2020,38136.0,1508.0,0
7/5/2020,38569.0,1511.0,0
7/6/2020,39133.0,1514.0,0
7/7/2020,39133.0,1514.0,0
7/8/2020,40136.0,1528.0,0
7/9/2020,40767.0,1533.0,0
7/10/2020,41571.0,1537.0,0
7/11/2020,41571.0,1537.0,0
7/12/2020,42772.0,1542.0,0
7/13/2020,43170.0,1548.0,0
7/14/2020,43170.0,1548.0,0
7/15/2020,44347.0,1564.0,0
7/16/2020,45013.0,1573.0,0
7/17/2020,45470.0,1578.0,0
7/18/2020,46204.0,1581.0,0
7/19/2020,46204.0,1581.0,0
7/20/2020,47457.0,1588.0,0
7/21/2020,47961.0,1592.0,0
7/22/2020,48721.0,1601.0,0
7/23/2020,49490.0,1606.0,0
7/24/2020,50291.0,1611.0,0
7/25/2020,50291.0,1611.0,0
7/26/2020,51803.0,1616.0,0
7/27/2020,52281.0,1620.0,0
7/28/2020,52947.0,1629.0,0
7/29/2020,53692.0,1634.0,0
7/30/2020,54464.0,1640.0,0
7/31/2020,55188.0,1646.0,0
8/1/2020,55947.0,1654.0,0
8/2/2020,55947.0,1654.0,0
8/3/2020,57162.0,1660.0,0
8/4/2020,57779.0,1670.0,0
8/5/2020,58640.0,1677.0,0
8/6/2020,59185.0,1681.0,0
8/7/2020,60101.0,1689.0,0
8/8/2020,60898.0,1698.0,0
8/9/2020,61516.0,1701.0,0
8/10/2020,61839.0,1707.0,0
8/11/2020,61839.0,1707.0,0
8/12/2020,62296.0,1726.0,0
8/13/2020,63723.0,1739.0,0
8/14/2020,64413.0,1745.0,0
8/15/2020,65162.0,1752.0,0
8/16/2020,65716.0,1759.0,0
8/17/2020,65716.0,1758.0,0
8/18/2020,66061.0,1767.0,0
8/19/2020,67308.0,1792.0,0
8/20/2020,68133.0,1800.0,0
8/21/2020,68133.0,1799.0,0
8/22/2020,69584.0,1813.0,0
8/23/2020,70298.0,1817.0,0
8/24/2020,70707.0,1828.0,0
8/25/2020,71236.0,1842.0,0
8/26/2020,72390.0,1855.0,0
8/27/2020,73240.0,1859.0,0
8/28/2020,73240.0,1859.0,0
8/29/2020,75214.0,1865.0,0
8/30/2020,75864.0,1866.0,0
8/31/2020,75864.0,1866.0,0
9/1/2020,77085.0,1882.0,0
9/2/2020,77085.0,1882.0,0
9/3/2020,78966.0,1899.0,0
9/4/2020,78966.0,1899.0,0
9/5/2020,80587.0,1909.0,0
9/6/2020,81225.0,1912.0,0
9/7/2020,81608.0,1914.0,0
9/8/2020,81868.0,1921.0,0
9/9/2020,82249.0,1936.0,0
9/10/2020,82249.0,1936.0,0
9/11/2020,82716.0,1949.0,0
9/12/2020,84311.0,1971.0,0
9/13/2020,84949.0,1974.0,0
9/14/2020,85351.0,1979.0,0
9/15/2020,85351.0,1979.0,0
9/16/2020,85813.0,1985.0,0
9/17/2020,86722.0,1994.0,0
9/18/2020,87807.0,2002.0,0
9/19/2020,88721.0,2015.0,0
9/20/2020,90942.0,2021.0,0
9/21/2020,91422.0,2031.0,0
9/22/2020,92100.0,2037.0,0
9/23/2020,92100.0,2037.0,0
9/24/2020,94189.0,2046.0,0
9/25/2020,95659.0,2056.0,0
9/26/2020,95659.0,2056.0,0
9/27/2020,97638.0,2067.0,0
9/28/2020,97638.0,2067.0,0
9/29/2020,98447.0,2072.0,0
9/30/2020,99134.0,2089.0,0
10/1/2020,100200.0,2102.0,0
10/2/2020,101366.0,2112.0,0
10/3/2020,103826.0,2133.0,0
10/4/2020,103826.0,2133.0,0
10/5/2020,105740.0,2140.0,0
10/6/2020,105740.0,2140.0,0
10/7/2020,107922.0,2160.0,0
10/8/2020,107922.0,2160.0,0
10/9/2020,109312.0,2174.0,0
10/10/2020,112268.0,2194.0,0
10/11/2020,113439.0,2197.0,0
10/12/2020,114874.0,2204.0,0
10/13/2020,114874.0,2204.0,0
10/14/2020,115943.0,2227.0,0
10/15/2020,117106.0,2199.0,0
10/16/2020,119396.0,2212.0,0
10/17/2020,121090.0,2217.0,0
10/18/2020,124439.0,2292.0,0
10/19/2020,124439.0,2292.0,0
10/20/2020,125531.0,2299.0,0
10/21/2020,126591.0,2334.0,0
10/22/2020,128152.0,2354.0,0
10/23/2020,129863.0,2367.0,0
10/24/2020,132122.0,2381.0,0
10/25/2020,133802.0,2402.0,0
10/26/2020,135372.0,2406.0,0
10/27/2020,137536.0,2421.0,0
10/28/2020,139444.0,2440.0,0
10/29/2020,142311.0,2472.0,0
10/30/2020,145465.0,2491.0,0
10/31/2020,148472.0,2511.0,0
11/1/2020,150672.0,2529.0,0
11/2/2020,153620.0,2538.0,0
11/3/2020,157096.0,2553.0,0
11/4/2020,160923.0,2584.0,0
11/5/2020,164865.0,2634.0,0
11/6/2020,170307.0,2645.0,0
11/7/2020,174954.0,2679.0,0
11/8/2020,180862.0,2710.0,0
11/9/2020,184788.0,2729.0,0
11/10/2020,189681.0,2752.0,0
11/11/2020,194570.0,2810.0,0
11/12/2020,201795.0,2849.0,0
11/13/2020,207339.0,2895.0,0
11/14/2020,216028.0,2930.0,0
11/15/2020,223581.0,2961.0,0
11/16/2020,231018.0,2973.0,0
11/17/2020,236949.0,2999.0,0
11/18/2020,242043.0,3066.0,0
11/19/2020,249906.0,3138.0,0
11/20/2020,256700.0,3206.0,0
11/21/2020,262952.0,3257.0,0
11/22/2020,270157.0,3297.0,0
11/23/2020,276500.0,3321.0,0
11/24/2020,282916.0,3359.0,0
11/25/2020,289303.0,3434.0,0
11/26/2020,289303.0,3434.0,0
11/27/2020,295001.0,3535.0,0
11/28/2020,304023.0,3580.0,0
11/29/2020,312969.0,3637.0,0
11/30/2020,318763.0,3652.0,0
12/1/2020,322312.0,3674.0,0
12/2/2020,327477.0,3751.0,0
12/3/2020,333626.0,3843.0,0
12/4/2020,338973.0,3904.0,0
12/5/2020,345281.0,3979.0,0
12/6/2020,350862.0,4043.0,0
12/7/2020,356152.0,4064.0,0
12/8/2020,359203.0,4086.0,0
12/9/2020,363719.0,4168.0,0
12/10/2020,367218.0,4257.0,0
12/11/2020,370968.0,4351.0,0
12/12/2020,375398.0,4418.0,0
12/13/2020,378823.0,4503.0,0
12/14/2020,381841.0,4521.0,0
12/15/2020,384164.0,4542.0,0
12/16/2020,386412.0,4634.0,0
12/17/2020,389171.0,4717.0,0
12/18/2020,391889.0,4782.0,0
12/19/2020,394635.0,4839.0,0
12/20/2020,397319.0,4909.0,0
12/21/2020,399311.0,4931.0,0
12/22/2020,401011.0,4955.0,0
12/23/2020,402519.0,5030.0,0
12/24/2020,404403.0,5109.0,0
12/25/2020,404403.0,5109.0,0
12/26/2020,406545.0,5166.0,0
12/27/2020,409061.0,5206.0,0
12/28/2020,410138.0,5219.0,0
12/29/2020,411110.0,5255.0,0
12/30/2020,413107.0,5321.0,0
12/31/2020,415302.0,5382.0,0
1/1/2021,415302.0,5382.0,0
1/2/2021,417832.0,5436.0,0
1/3/2021,420544.0,5489.0,0
1/4/2021,423688.0,5502.0,0
1/5/2021,425261.0,5520.0,0
1/6/2021,427587.0,5596.0,0
1/7/2021,429570.0,5640.0,0
1/8/2021,431944.0,5688.0,0
1/9/2021,434413.0,5731.0,0
1/10/2021,436572.0,5775.0,0
1/11/2021,437552.0,5779.0,0
1/12/2021,438867.0,5792.0,0
1/13/2021,440354.0,5842.0,0
1/14/2021,441935.0,5885.0,0
1/15/2021,443562.0,5918.0,0
1/16/2021,445047.0,5955.0,0
1/17/2021,446380.0,5995.0,0
1/18/2021,447349.0,6007.0,0
1/19/2021,448268.0,6013.0,0
1/20/2021,449492.0,6047.0,0
1/21/2021,450762.0,6079.0,0
1/22/2021,452268.0,6100.0,0
1/23/2021,453808.0,6131.0,0
1/24/2021,454989.0,6163.0,0
1/25/2021,455783.0,6166.0,0
1/26/2021,456490.0,6174.0,0
1/27/2021,457317.0,6192.0,0
1/28/2021,458633.0,6208.0,0
1/29/2021,459747.0,6236.0,0
1/30/2021,460819.0,6255.0,0
1/31/2021,461807.0,6268.0,0
2/1/2021,462528.0,6270.0,0
2/2/2021,463132.0,6278.0,0
2/3/2021,463766.0,6302.0,0
2/4/2021,465176.0,6319.0,0
2/5/2021,466224.0,6341.0,0
2/6/2021,467217.0,6357.0,0
2/7/2021,468118.0,6367.0,0
2/8/2021,468682.0,6370.0,0
2/9/2021,469254.0,6376.0,0
2/10/2021,469905.0,6387.0,0
2/11/2021,470803.0,6411.0,0
2/12/2021,471851.0,6430.0,0
2/13/2021,472791.0,6437.0,0
2/14/2021,473567.0,6444.0,0
2/15/2021,474169.0,6446.0,0
2/16/2021,474621.0,6448.0,0
2/17/2021,475379.0,6458.0,0
2/18/2021,476292.0,6472.0,0
2/19/2021,477287.0,6480.0,0
2/20/2021,478157.0,6491.0,0
2/21/2021,479036.0,6500.0,0
2/22/2021,479591.0,6501.0,0
2/23/2021,480091.0,6502.0,0
2/24/2021,480845.0,6511.0,0
2/25/2021,481831.0,6518.0,0
2/26/2021,482978.0,6530.0,0
2/27/2021,483790.0,6543.0,0
2/28/2021,484594.0,6551.0,0
3/1/2021,485230.0,6554.0,0
3/2/2021,485655.0,6558.0,0
3/3/2021,486434.0,6575.0,0
3/4/2021,487374.0,6589.0,0
3/5/2021,488170.0,6602.0,0
3/6/2021,489116.0,6614.0,0
