Dates,Infected,Deaths,Tested,Population
2/1/2020,0.0,0.0,0.0,39370000.0
2/2/2020,0.0,0.0,0.0,39370000.0
2/3/2020,0.0,0.0,0.0,39370000.0
2/4/2020,0.0,0.0,0.0,39370000.0
2/5/2020,0.0,0.0,0.0,39370000.0
2/6/2020,0.0,0.0,0.0,39370000.0
2/7/2020,0.0,0.0,0.0,39370000.0
2/8/2020,0.0,0.0,0.0,39370000.0
2/9/2020,0.0,0.0,0.0,39370000.0
2/10/2020,0.0,0.0,0.0,39370000.0
2/11/2020,0.0,0.0,0.0,39370000.0
2/12/2020,0.0,0.0,0.0,39370000.0
2/13/2020,0.0,0.0,0.0,39370000.0
2/14/2020,0.0,0.0,0.0,39370000.0
2/15/2020,0.0,0.0,0.0,39370000.0
2/16/2020,0.0,0.0,0.0,39370000.0
2/17/2020,0.0,0.0,0.0,39370000.0
2/18/2020,0.0,0.0,0.0,39370000.0
2/19/2020,0.0,0.0,0.0,39370000.0
2/20/2020,0.0,0.0,0.0,39370000.0
2/21/2020,0.0,0.0,0.0,39370000.0
2/22/2020,0.0,0.0,0.0,39370000.0
2/23/2020,0.0,0.0,0.0,39370000.0
2/24/2020,0.0,0.0,0.0,39370000.0
2/25/2020,0.0,0.0,0.0,39370000.0
2/26/2020,0.0,0.0,0.0,39370000.0
2/27/2020,0.0,0.0,0.0,39370000.0
2/28/2020,0.0,0.0,0.0,39370000.0
2/29/2020,0.0,0.0,0.0,39370000.0
3/1/2020,0.0,0.0,0.0,39370000.0
3/2/2020,0.0,0.0,0.0,39370000.0
3/3/2020,0.0,0.0,0.0,39370000.0
3/4/2020,0.0,0.0,0.0,39370000.0
3/5/2020,0.0,0.0,0.0,39370000.0
3/6/2020,0.0,0.0,0.0,39370000.0
3/7/2020,0.0,0.0,0.0,39370000.0
3/8/2020,0.0,0.0,0.0,39370000.0
3/9/2020,0.0,0.0,0.0,39370000.0
3/10/2020,0.0,0.0,0.0,39370000.0
3/11/2020,0.0,0.0,0.0,39370000.0
3/12/2020,1.0,0.0,0.0,39370000.0
3/13/2020,1.0,0.0,0.0,39370000.0
3/14/2020,2.0,0.0,0.0,39370000.0
3/15/2020,3.0,0.0,0.0,39370000.0
3/16/2020,3.0,0.0,0.0,39370000.0
3/17/2020,11.0,0.0,0.0,39370000.0
3/18/2020,16.0,0.0,0.0,39370000.0
3/19/2020,18.0,0.0,0.0,39370000.0
3/20/2020,22.0,0.0,0.0,39370000.0
3/21/2020,24.0,0.0,0.0,39370000.0
3/22/2020,24.0,0.0,0.0,39370000.0
3/23/2020,26.0,0.0,0.0,39370000.0
